Position,StateName,Name_x,Name_y,Handle,Affiliation,Body,Score,RankY,RankX,ndups
NC08,North Carolina,Richard Hudson,Richard Burr,@RepRichHudson,R,Senate,69,0,0,0
MA01,Massachusetts,Richard Neal,Richard Neal,@RepRichardNeal,D,House of Representatives,100,0,0,0
LA02,Louisiana,Cedric Richmond,Cedric Richmond,@RepRichmond,D,House of Representatives,100,0,0,0
GA12,Georgia,Rick Allen,Rick W. Allen,@RepRickAllen,R,House of Representatives,87,0,0,0
WA02,Washington,Rick Larsen,Rick Larsen,@RepRickLarsen,D,House of Representatives,100,0,0,0
VA05,Virginia,Denver Riggleman,Denver Riggleman,@RepRiggleman,R,House of Representatives,100,0,0,0
UT01,Utah,Rob Bishop,Rob Bishop,@RepRobBishop,R,House of Representatives,100,0,0,0
GA07,Georgia,Rob Woodall,Rob Woodall,@RepRobWoodall,R,House of Representatives,100,0,0,0
IL02,Illinois,Robin Kelly,Robin Kelly,@RepRobinKelly,D,House of Representatives,100,0,0,0
KS04,Kansas,Ron Estes,Ron Estes,@RepRonEstes,R,House of Representatives,100,0,0,0
WI03,Wisconsin,Ron Kind,Ron Kind,@RepRonKind,D,House of Representatives,100,0,0,0
TX06,Virginia,Ron Wright,Rob Wittman,@RepRonWright,R,House of Representatives,57,2,0,0
FL19,Florida,Francis Rooney,Francis Rooney,@RepRooney,R,House of Representatives,100,0,0,0
CA40,California,Lucille RoybalAllard,Lucille Roybal-Allard,@RepRoybalAllard,D,House of Representatives,98,0,0,0
ID01,Idaho,Russ Fulcher,Russ Fulcher,@RepRussFulcher,R,House of Representatives,100,0,0,0
MO06,Missouri,Sam Graves,Sam Graves,@RepSamGraves,R,House of Representatives,100,0,0,0
MD03,Maryland,John Sarbanes,John Sarbanes,@RepSarbanes,D,House of Representatives,100,0,0,0
IL10,Illinois,Bradley Schneider,Brad Schneider,@RepSchneider,D,House of Representatives,90,0,0,0
OR05,Oregon,Kurt Schrader,Kurt Schrader,@RepSchrader,D,House of Representatives,100,0,0,0
PA10,Tennessee,Scott Perry,Scott DesJarlais,@RepScottPerry,R,House of Representatives,59,2,0,0
CA52,Tennessee,Scott Peters,Scott DesJarlais,@RepScottPeters,R,House of Representatives,64,1,0,0
WI07,Wisconsin,Sean Duffy,Sean Duffy,@RepSeanDuffy,R,House of Representatives,100,0,0,0
NY18,New York,Sean Maloney,Sean Patrick Maloney,@RepSeanMaloney,D,House of Representatives,75,0,0,0
FL27,Florida,Donna Shalala,Donna Shalala,@RepShalala,D,House of Representatives,100,0,0,0
NJ11,New Jersey,Mikie Sherrill,Mikie Sherrill,@RepSherrill,D,House of Representatives,100,0,0,0
IL15,Illinois,John Shimkus,John Shimkus,@RepShimkus,R,House of Representatives,100,0,0,0
NJ08,New Jersey,Albio Sires,Albio Sires,@RepSires,D,House of Representatives,100,0,0,0
MI08,Michigan,Elissa Slotkin,Elissa Slotkin,@RepSlotkin,D,House of Representatives,100,0,0,0
PA11,Pennsylvania,Lloyd Smucker,Lloyd Smucker,@RepSmucker,R,House of Representatives,100,0,0,0
VA07,Virginia,Abigail Spanberger,Abigail Spanberger,@RepSpanberger,D,House of Representatives,100,0,0,0
NY21,New York,Elise Stefanik,Elise Stefanik,@RepStefanik,R,House of Representatives,100,0,0,0
FL07,Florida,Stephanie Murphy,Stephanie Murphy,@RepStephMurphy,D,House of Representatives,100,0,0,0
MA08,Massachusetts,Stephen Lynch,Stephen F. Lynch,@RepStephenLynch,D,House of Representatives,90,0,0,0
OH01,Ohio,Steve Chabot,Steve Chabot,@RepSteveChabot,R,House of Representatives,100,0,0,0
OH15,Ohio,Steve Stivers,Steve Stivers,@RepSteveStivers,R,House of Representatives,100,0,0,0
CA53,Maine,Susan Davis,Susan Collins,@RepSusanDavis,R,Senate,67,2,0,0
PA07,Pennsylvania,Susan Wilk,Susan Wild,@RepSusanWild,D,House of Representatives,90,0,0,0
NV03,Nevada,Susie Lee,Susie Lee,@RepSusieLee,D,House of Representatives,100,0,0,0
TX29,Texas,Sylvia Garcia,Sylvia Garcia,@RepSylviaGarcia,D,House of Representatives,100,0,0,0
NC13,North Carolina,Ted Budd,Ted Budd,@RepTedBudd,R,House of Representatives,100,0,0,0
FL22,Florida,Theodore Deutch,Ted Deutch,@RepTedDeutch,D,House of Representatives,80,0,0,0
CA33,California,Ted Lieu,Ted Lieu,@RepTedLieu,D,House of Representatives,100,0,0,0
FL03,Florida,Ted Yoho,Ted Yoho,@RepTedYoho,R,House of Representatives,100,0,0,0
KY04,Kentucky,Thomas Massie,Thomas Massie,@RepThomasMassie,R,House of Representatives,100,0,0,0
TN02,Tennessee,Tim Burchett,Tim Burchett,@RepTimBurchett,R,House of Representatives,100,0,0,0
OH13,Virginia,Tim Ryan,Tim Kaine,@RepTimRyan,D,Senate,71,0,0,0
CO03,Colorado,Scott Tipton,Scott Tipton,@RepTipton,R,House of Representatives,100,0,0,0
MN06,Minnesota,Tom Emmer,Tom Emmer,@RepTomEmmer,R,House of Representatives,100,0,0,0
GA14,Georgia,Tom Graves,Tom Graves,@RepTomGraves,R,House of Representatives,100,0,0,0
NY23,South Carolina,Tom Reed,Tom Rice,@RepTomReed,R,House of Representatives,75,1,0,0
SC07,South Carolina,Tom Rice,Tom Rice,@RepTomRice,R,House of Representatives,100,0,0,0
NY03,New York,Thomas Suozzi,Thomas Suozzi,@RepTomSuozzi,D,House of Representatives,100,0,0,0
NM02,New Mexico,Xochitl Small,Xochitl Torres Small,@RepTorresSmall,D,House of Representatives,79,0,0,0
MS01,Mississippi,Trent Kelly,Trent Kelly,@RepTrentKelly,R,House of Representatives,100,0,0,0
IN09,Indiana,Trey Hollingsworth,Trey Hollingsworth,@RepTrey,R,House of Representatives,100,0,0,0
IL14,Illinois,Lauren Underwood,Lauren Underwood,@RepUnderwood,D,House of Representatives,100,0,0,0
FL10,Florida,Val Demings,Val Demings,@RepValDemings,D,House of Representatives,100,0,0,0
TX03,Texas,Van Taylor,Van Taylor,@RepVanTaylor,R,House of Representatives,100,0,0,0
TX33,Texas,Marc Veasey,Marc Veasey,@RepVeasey,D,House of Representatives,100,0,0,0
IN01,Indiana,Peter Visclosky,Pete Visclosky,@RepVisclosky,D,House of Representatives,97,0,0,0
MI07,Michigan,Tim Walberg,Tim Walberg,@RepWalberg,R,House of Representatives,100,0,0,0
